date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
04:59:44	1699/1699	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Mar%202025%2003:59:43%20GMT	http://i2comsapp.org/robots.txt		(from )
04:59:44	99605/99605	---M-Z	200	added ('OK')	text/html	etag:%227da0227-18515-6168ec7a23de1-gzip%22	http://i2comsapp.org/	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/index.html	(from )
04:59:44	1150/1150	---M--	200	added ('OK')	image/x-icon	etag:%227da2859-47e-606d15ddbfdce%22	http://i2comsapp.org/icon-un-fst.ico	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/icon-un-fst.ico	(from http://i2comsapp.org/)
04:59:44	1672/1672	---M-Z	200	added ('OK')	text/css	etag:%227da06ee-688-6168ec9005964-gzip%22	http://i2comsapp.org/Maurit_I2ComsApp24.css	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/Maurit_I2ComsApp24.css	(from http://i2comsapp.org/)
04:59:45	222065/222065	---M-Z	200	added ('OK')	text/css	etag:%227da01c2-36371-6168ec6e7a6ea-gzip%22	http://i2comsapp.org/index.css	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/index.css	(from http://i2comsapp.org/)
04:59:46	12615/12615	---M-Z	200	added ('OK')	application/javascript	etag:%227da2244-3147-610951ee86828-gzip%22	http://i2comsapp.org/skrollr.min.js	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/skrollr.min.js	(from http://i2comsapp.org/)
04:59:46	1252/1252	---M-Z	200	added ('OK')	application/javascript	etag:%227da2245-4e4-610951f9cc93a-gzip%22	http://i2comsapp.org/wb.conveyerbelt.min.js	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/wb.conveyerbelt.min.js	(from http://i2comsapp.org/)
04:59:47	4313/4313	---M-Z	200	added ('OK')	application/javascript	etag:%227da0c6f-10d9-6109521a5c809-gzip%22	http://i2comsapp.org/wwb17.min.js	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/wwb17.min.js	(from http://i2comsapp.org/)
04:59:47	44342/44342	---M-Z	200	added ('OK')	application/javascript	etag:%227da0196-ad36-610951dfbdbc8-gzip%22	http://i2comsapp.org/owl.carousel.min.js	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/owl.carousel.min.js	(from http://i2comsapp.org/)
04:59:49	97163/97163	---M-Z	200	added ('OK')	application/javascript	etag:%227da0144-17b8b-6109523e93062-gzip%22	http://i2comsapp.org/jquery-1.12.4.min.js	D:/Recherche/InnovCOM/I2COMSAPP/I2COMSAPP/i2comsapp.org/jquery-1.12.4.min.js	(from http://i2comsapp.org/)
